Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Sum of Units Sold,Sum of Price Per Unit,Sum of Total Sales,Sum of Discount Percentage,Discount Value,Net Sales
01-01-2020,24,0,P004,1,64999,64999,0,0,64999
01-01-2020,7,0,P011,2,1499,2998,0,0,2998
01-01-2021,20,0,P010,3,2199,6597,0,0,6597
01-01-2021,27,0,P030,3,399,1197,0,0,1197
01-01-2021,31,0,P023,1,1499,1499,0,0,1499
01-01-2021,32,0,P030,3,399,1197,0,0,1197
01-01-2021,33,0,P004,2,64999,129998,0,0,129998
01-01-2022,32,PR003,P024,3,2799,8397,50,4198.5,4198.5
01-01-2022,48,PR003,P011,3,1499,4497,50,2248.5,2248.5
01-01-2023,11,0,P022,3,1999,5997,0,0,5997
01-01-2024,18,0,P016,2,24999,49998,0,0,49998
01-02-2020,26,0,P017,1,10499,10499,0,0,10499
01-02-2020,27,0,P021,2,1299,2598,0,0,2598
01-02-2020,8,0,P021,2,1299,2598,0,0,2598
01-02-2021,13,0,P019,3,5999,17997,0,0,17997
01-02-2021,42,0,P019,3,5999,17997,0,0,17997
01-02-2022,13,0,P030,2,399,798,0,0,798
01-02-2022,43,0,P019,3,5999,17997,0,0,17997
01-02-2022,44,0,P018,1,2299,2299,0,0,2299
01-02-2023,43,0,P012,2,2999,5998,0,0,5998
01-02-2023,45,0,P006,1,7499,7499,0,0,7499
01-03-2020,43,0,P005,1,92499,92499,0,0,92499
01-03-2020,5,0,P009,1,3499,3499,0,0,3499
01-03-2020,9,0,P013,2,15999,31998,0,0,31998
01-03-2021,10,0,P018,2,2299,4598,0,0,4598
01-03-2021,14,0,P008,2,5499,10998,0,0,10998
01-03-2021,23,0,P012,2,2999,5998,0,0,5998
01-03-2021,4,0,P013,3,15999,47997,0,0,47997
01-03-2021,40,0,P015,3,8499,25497,0,0,25497
01-03-2021,47,0,P028,1,349,349,0,0,349
01-03-2021,8,0,P018,3,2299,6897,0,0,6897
01-03-2022,37,0,P008,2,5499,10998,0,0,10998
01-03-2022,40,0,P010,1,2199,2199,0,0,2199
01-03-2023,3,0,P026,2,5499,10998,0,0,10998
01-03-2023,36,0,P020,2,12999,25998,0,0,25998
01-03-2023,46,0,P026,3,5499,16497,0,0,16497
01-04-2020,12,PR001,P004,3,64999,194997,20,38999.4,155997.6
01-04-2020,26,PR001,P013,1,15999,15999,20,3199.8,12799.2
01-04-2021,1,PR001,P014,2,4999,9998,20,1999.6,7998.4
01-04-2021,26,PR001,P015,3,8499,25497,20,5099.4,20397.6
01-04-2021,9,PR001,P011,3,1499,4497,20,899.4,3597.6
01-04-2022,20,PR001,P017,3,10499,31497,20,6299.4,25197.6
01-04-2022,25,PR001,P013,2,15999,31998,20,6399.6,25598.4
01-04-2022,4,PR001,P014,1,4999,4999,20,999.8,3999.2
01-04-2022,4,PR001,P020,2,12999,25998,20,5199.6,20798.4
01-04-2023,11,PR001,P010,1,2199,2199,20,439.8,1759.2
01-04-2023,18,PR001,P015,3,8499,25497,20,5099.4,20397.6
01-05-2020,30,PR001,P026,2,5499,10998,20,2199.6,8798.4
01-05-2020,48,PR001,P016,3,24999,74997,20,14999.4,59997.6
01-05-2021,10,PR001,P010,3,2199,6597,20,1319.4,5277.6
01-05-2021,14,PR001,P025,1,8999,8999,20,1799.8,7199.2
01-05-2021,29,PR001,P021,1,1299,1299,20,259.8,1039.2
01-05-2023,36,PR001,P029,1,99,99,20,19.8,79.2
01-05-2023,37,PR001,P003,3,89999,269997,20,53999.4,215997.6
01-05-2023,47,PR001,P016,3,24999,74997,20,14999.4,59997.6
01-05-2023,7,PR001,P010,3,2199,6597,20,1319.4,5277.6
01-06-2020,1,0,P003,1,89999,89999,0,0,89999
01-06-2021,12,0,P005,2,92499,184998,0,0,184998
01-06-2021,12,0,P015,1,8499,8499,0,0,8499
01-06-2022,14,0,P008,2,5499,10998,0,0,10998
01-06-2022,44,0,P001,3,79999,239997,0,0,239997
01-06-2023,17,0,P008,1,5499,5499,0,0,5499
01-06-2023,24,0,P014,2,4999,9998,0,0,9998
01-06-2023,39,0,P014,3,4999,14997,0,0,14997
01-07-2020,20,0,P021,1,1299,1299,0,0,1299
01-07-2020,36,0,P009,3,3499,10497,0,0,10497
01-07-2021,28,0,P008,1,5499,5499,0,0,5499
01-07-2021,33,0,P006,3,7499,22497,0,0,22497
01-07-2021,33,0,P017,2,10499,20998,0,0,20998
01-07-2021,37,0,P003,3,89999,269997,0,0,269997
01-07-2022,2,0,P011,3,1499,4497,0,0,4497
01-07-2022,35,0,P028,2,349,698,0,0,698
01-07-2023,33,PR004,P001,3,79999,239997,50,119998.5,119998.5
01-07-2023,41,PR004,P005,2,92499,184998,50,92499,92499
01-07-2023,7,PR004,P013,3,15999,47997,50,23998.5,23998.5
01-08-2020,24,0,P023,3,1499,4497,0,0,4497
01-08-2020,28,0,P017,2,10499,20998,0,0,20998
01-08-2020,5,0,P001,2,79999,159998,0,0,159998
01-08-2021,19,0,P009,1,3499,3499,0,0,3499
01-08-2021,25,0,P015,2,8499,16998,0,0,16998
01-08-2021,48,0,P013,3,15999,47997,0,0,47997
01-08-2023,2,0,P008,2,5499,10998,0,0,10998
01-08-2023,24,0,P030,2,399,798,0,0,798
01-08-2023,43,0,P008,1,5499,5499,0,0,5499
01-09-2020,1,0,P020,1,12999,12999,0,0,12999
01-09-2020,26,0,P024,1,2799,2799,0,0,2799
01-09-2020,33,0,P001,1,79999,79999,0,0,79999
01-09-2022,34,0,P028,3,349,1047,0,0,1047
01-09-2022,41,0,P014,3,4999,14997,0,0,14997
01-09-2022,44,0,P014,2,4999,9998,0,0,9998
01-09-2022,5,0,P005,1,92499,92499,0,0,92499
01-09-2023,32,0,P013,2,15999,31998,0,0,31998
01-09-2023,38,0,P008,3,5499,16497,0,0,16497
01-10-2020,12,0,P010,1,2199,2199,0,0,2199
01-10-2020,19,0,P014,2,4999,9998,0,0,9998
01-10-2020,43,0,P017,2,10499,20998,0,0,20998
01-10-2021,21,0,P028,3,349,1047,0,0,1047
01-10-2021,35,0,P013,2,15999,31998,0,0,31998
01-10-2022,15,0,P001,3,79999,239997,0,0,239997
01-10-2022,25,0,P024,2,2799,5598,0,0,5598
01-10-2022,26,0,P007,1,6999,6999,0,0,6999
